nazwa-zmienna,id-zmienna,id-przekroj,id-okres
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,16,248
Bieżąca sytuacja finansowa przedsiębiorstwa,141,777,255
Wskaźnik ogólnego klimatu koniunktury,184,751,250
Saldo obrotów towarowych wg kraju wysyłki,183,1144,247
Eksport towarów,220,1198,253
Instytucjonalna piecza zastępcza,267,595,282
Saldo obrotów towarowych wg kraju wysyłki,183,1115,262
Liczba pokoi w obiektach hotelowych,91,181,282
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy krajowy,175,787,247
Nakłady wewnętrzne na działalność badawczą i rozwojową,406,78,282
Zasiłki z ubezpieczenia społecznego,289,16,265
Przewidywana sytuacja finansowa przedsiębiorstwa,170,960,247
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,12,266
Import towarów wg kraju wysyłki,222,1243,247
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,2,257
Liczba emerytów i rencistów,283,1192,258
Ośrodki dla dzieci i młodzieży,439,697,282
Saldo obrotów towarowych wg kraju pochodzenia,223,1116,260
Pozycja przedsiębiorstwa wobec konkurencji na rynku krajowym - przetwórstwo przemysłowe,162,796,256
Przewidywana sytuacja finansowa przedsiębiorstwa,170,960,249
Kwota świadczeń emerytalno-rentowych,285,1192,261
Osoby pełnoletnie, które opuściły rodzinną pieczę zastępczą,264,614,282
Przewidywana produkcja,168,797,249
Kwerendy w archiwach państwowych,425,22,282
Wskaźnik ogólnego klimatu koniunktury,184,803,256
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,786,252
Sklepy,106,837,282
Pozycja przedsiębiorstwa wobec konkurencji na innych rynkach zagranicznych poza krajami Unii Europejskiej - przetwórstwo przemysłowe,160,786,250
Uczniowie,435,1271,282
Bieżąca produkcja,140,956,257
Import towarów wg kraju wysyłki,222,1198,247
Przewidywana sytuacja finansowa przedsiębiorstwa,170,960,253
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,834,247
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,2,252
Współczynnik aktywności zawodowej - BAEL (do 2020 r.),371,221,272
Przewidywana sprzedaż,169,958,252
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,2,267
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,250
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,16,257
Źródła finansowania środków obrotowych w działalności handlowej - kredyt kupiecki,198,796,252
Sprzedaż hurtowa towarów,110,832,247
Przewidywane zamówienia u dostawców - handel,173,955,250
Mieszkańcy placówek stacjonarnych pomocy społecznej (stan na 31 XII),277,621,282
Bariery działalności w budownictwie,133,813,257
Przewidywane zatrudnienie,174,776,254
Saldo obrotów towarowych wg kraju pochodzenia,223,1136,264
Przeciętne miesięczne wynagrodzenie brutto w gospodarce narodowej,398,364,275
Osoby po raz pierwszy umieszczone w placówkach,278,630,282
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,751,247
Obroty w handlu detalicznym,112,16,258
Przewidywane ceny,171,960,247
Przeciętna miesięczna emerytura i renta brutto wypłacona przez ZUS,6,16,253
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,796,253
Renty socjalne,290,16,267
Import towarów wg kraju pochodzenia,221,1136,256
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,805,248
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,805,247
Przewidywane źródła finansowania działalności usługowej - środki z budżetu państwa,178,819,258
Przewidywane zatrudnienie,174,777,253
Przewidywana sytuacja finansowa przedsiębiorstwa,170,960,250
Sprzedaż detaliczna towarów,109,827,260
Import towarów wg kraju pochodzenia,221,1246,257
Placówki gastronomiczne,102,843,282
Wskaźniki cen towarów i usług konsumpcyjnych,305,736,259
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,801,253
Wolne miejsca pracy,426,38,270
Import towarów wg kraju wysyłki,222,1136,268
Odsetek przedsiębiorstw dokonujących sprzedaży poprzez Internet,336,8,282
Przewidywane zamówienia u dostawców - handel,173,955,253
Bariery działalności w usługach,136,818,248
Wskaźniki cen towarów i usług konsumpcyjnych,305,908,248
Mieszkania, których budowę rozpoczęto,383,16,263
Bieżący stan zapasów towarów - handel,147,757,253
Bieżący popyt - usługi,143,819,250
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,1259,248
Przeciętne ceny gruntów ornych w obrocie prywatnym,316,486,272
Relacje cen targowiskowych do cen skupu żywca wieprzowego,320,16,254
Małżeństwa na 1000 ludności,29,16,253
Wskaźniki cen towarów i usług konsumpcyjnych,305,16,255
Zagwarantowany okres działania przedsiębiorstwa - usługi,190,787,254
Bariery działalności w usługach,136,817,250
Import towarów wg kraju wysyłki,222,1194,261
Źródła finansowania inwestycji - kredyt bankowy zagraniczny,193,801,329
Eksport towarów,220,1136,261
Saldo obrotów towarowych wg kraju wysyłki,183,1246,253
Sprzedaż detaliczna towarów,109,849,249
Eksport towarów,220,1115,258
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,751,256
Pracujący - BAEL (do 2020 r.),1,1163,272
Przeciętna miesięczna emerytura i renta brutto wypłacona przez ZUS,6,16,261
Pracujący w sektorze przedsiębiorstw,377,1242,255
Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym,384,102,260
Przewidywane ceny,171,776,256
Saldo obrotów towarowych wg kraju wysyłki,183,1246,266
Relacje cen targowiskowych do cen skupu żywca wieprzowego,320,16,253
Import towarów wg kraju pochodzenia,221,1243,269
Bariery działalności w przetwórstwie przemysłowym,135,809,251
Wskaźnik wolumenu w obrotach handlu zagranicznego w imporcie,228,789,267
Bieżący stan zapasów towarów - handel,147,796,249
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,261
Bieżąca sytuacja finansowa przedsiębiorstwa,141,776,255
Stopa bezrobocia - BAEL (do 2020 r.),369,1163,271
Wychowankowie placówek instytucjonalnej pieczy zastępczej,269,596,282
Przewidywany portfel zamówień na rynku krajowym - budownictwo,181,796,249
Wskaźniki cen produkcji sprzedanej przemysłu,314,657,251
Pracujący w sektorze przedsiębiorstw,377,1242,251
Źródła finansowania środków obrotowych w działalności handlowej - kredyt bankowy,197,834,247
Przewidywany popyt,179,798,251
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,2,251
Import towarów wg kraju wysyłki,222,1198,261
Import towarów wg kraju wysyłki,222,1246,264
Nadane tytuły naukowe profesora,419,17,282
Import towarów wg kraju pochodzenia,221,1199,267
Wskaźniki relacji cen ("nożyce cen") produktów rolnych sprzedawanych do towarów i usług zakupywanych,325,16,282
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,16,250
Ludność - BAEL (do 2020 r.),365,221,273
Bieżący zagraniczny portfel zamówień (strumień) - przetwórstwo przemysłowe,149,2,252
Bariery działalności w handlu,134,814,258
Renty socjalne,290,16,263
Import towarów wg kraju pochodzenia,221,1116,268
Opóźnienia płatności,158,801,254
Sprzedaż hurtowa towarów,110,830,282
Saldo obrotów towarowych wg kraju wysyłki,183,1136,251
Absolwenci,436,744,282
Pozycja przedsiębiorstwa wobec konkurencji na rynkach zagranicznych wewnątrz Unii Europejskiej - przetwórstwo przemysłowe,161,2,256
Pozycja przedsiębiorstwa wobec konkurencji na rynku krajowym - przetwórstwo przemysłowe,162,2,256
Opóźnienia płatności,158,799,255
Wskaźnik wolumenu w obrotach handlu zagranicznego w imporcie,228,789,248
Przeciętna miesięczna emerytura i renta brutto wypłacona przez ZUS,6,16,251
Import towarów wg kraju wysyłki,222,1116,257
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,2,249
Saldo obrotów towarowych wg kraju wysyłki,183,1144,256
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,797,250
Wskaźnik ufności koniunktury gospodarczej – budownictwo,185,16,255
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,803,247
Saldo obrotów towarowych wg kraju pochodzenia,223,1115,282
Wskaźnik zatrudnienia - BAEL (do 2020 r.),370,1163,270
Saldo obrotów towarowych wg kraju pochodzenia,223,1194,253
Stopień wykorzystania miejsc noclegowych w turystycznych obiektach noclegowych,95,1297,273
Eksport towarów,220,1243,266
Wskaźnik ogólnego klimatu koniunktury,184,803,249
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,264
Wskaźniki cen skupu produktów rolnych,324,775,250
Eksport towarów,220,1194,262
Kwota świadczeń społecznych brutto,4,16,261
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,256
Bieżąca sytuacja finansowa przedsiębiorstwa,141,777,256
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,261
Saldo obrotów towarowych wg kraju wysyłki,183,1246,257
Saldo obrotów towarowych wg kraju pochodzenia,223,1243,251
Przewidywana sytuacja finansowa przedsiębiorstwa,170,777,250
Bieżący popyt - usługi,143,819,254
Mieszkania, których budowę rozpoczęto,383,117,263
Opóźnienia płatności,158,957,252
Źródła finansowania inwestycji - środki własne,195,797,329
Wychowankowie do 18 r.ż. opuszczający rodzinną pieczę zastępczą,263,615,282
Zatrudnieni w warunkach zagrożenia,412,207,282
Świadectwa wydane na studiach podyplomowych,453,1035,282
Bierni zawodowo nieposzukujący pracy, ale gotowi do jej podjęcia - BAEL (do 2020 r.),372,1,282
Import towarów wg kraju wysyłki,222,1194,249
Przewidywane zatrudnienie,174,777,258
Sprzedaż detaliczna towarów,109,849,270
Przewidywany popyt,179,798,258
Przewidywana produkcja,168,805,251
Pracujący w sektorze przedsiębiorstw,377,12,256
Przewidywany popyt,179,804,248
Wskaźniki cen towarów i usług konsumpcyjnych,305,909,267
Sklepy,106,839,282
Produkcja budowlano-montażowa,392,93,263
Przewidywana sytuacja finansowa przedsiębiorstwa,170,751,249
Bariery działalności w handlu,134,815,251
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,253
Eksport towarów,220,1198,258
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,1242,267
Saldo obrotów towarowych wg kraju wysyłki,183,1246,250
Wskaźniki cen produktów rolnych uzyskiwanych przez rolników na targowiskach,323,781,253
Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym,384,102,261
Szkoły,433,1270,282
Bariery działalności w handlu,134,814,257
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,796,257
Import towarów wg kraju pochodzenia,221,1199,264
Zagwarantowany okres działania przedsiębiorstwa - usługi,190,787,258
Saldo obrotów towarowych wg kraju wysyłki,183,1116,255
Przewidywana sprzedaż,169,958,249
Kwota świadczeń społecznych brutto,4,16,263
Wskaźniki cen producentów usług związanych z obsługą działalności gospodarczej,311,604,274
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,16,249
Izby oddane do użytkowania,378,117,275
Przewidywany portfel zamówień na rynku krajowym - budownictwo,181,2,256
Pozycja przedsiębiorstwa wobec konkurencji na rynku krajowym - przetwórstwo przemysłowe,162,796,250
Eksport towarów,220,1243,251
Import towarów wg kraju wysyłki,222,1144,258
Wskaźniki cen producentów usług związanych z obsługą działalności gospodarczej,311,604,271
Produkcja budowlano-montażowa,392,16,258
Sprzedaż detaliczna towarów,109,849,271
Bieżąca sytuacja finansowa przedsiębiorstwa,141,960,249
Import towarów wg kraju wysyłki,222,1116,261
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,16,256
Wskaźnik wolumenu w obrotach handlu zagranicznego w eksporcie,227,789,261
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,16,253
Saldo obrotów towarowych wg kraju wysyłki,183,1115,263
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,796,254
Odsetek przedsiębiorstw korzystających z e-administracji,334,3,282
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,16,253
Przewidywane zamówienia u dostawców - handel,173,834,249
Przewidywana sprzedaż,169,798,252
Udzielone noclegi w turystycznych obiektach noclegowych,94,1304,258
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,960,251
Wskaźniki cen towarów i usług konsumpcyjnych,305,736,251
Urodzenia żywe na 1000 ludności,28,1215,278
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,776,252
Dorośli skazani prawomocnie,295,896,282
Mieszkania oddane do użytkowania,381,101,282
Opóźnienia płatności,158,799,254
Saldo obrotów towarowych wg kraju wysyłki,183,1246,258
Import towarów wg kraju pochodzenia,221,1194,256
Mieszkańcy placówek stacjonarnych pomocy społecznej (stan na 31 XII),277,620,282
Wskaźnik ufności koniunktury gospodarczej – handel detaliczny,186,16,249
Pozycja przedsiębiorstwa wobec konkurencji na rynkach zagranicznych wewnątrz Unii Europejskiej - przetwórstwo przemysłowe,161,751,256
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,1259,254
Eksport towarów,220,1144,262
Import towarów wg kraju wysyłki,222,1246,269
Przewidywana sytuacja finansowa przedsiębiorstwa,170,751,255
Pozwolenia na budowę i zgłoszenia z projektem budowlanym budowy nowych budynków mieszkalnych,390,113,277
Saldo obrotów towarowych wg kraju wysyłki,183,1198,282
Saldo obrotów towarowych wg kraju wysyłki,183,1116,250
Odsetek przedsiębiorstw posiadających własną stronę internetową,333,3,282
Przewidywane zatrudnienie,174,959,248
Uczestnicy studiów doktoranckich otrzymujący stypendia,449,987,282
Eksport towarów,220,1199,255
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,757,247
Saldo obrotów towarowych wg kraju pochodzenia,223,1115,267
Przewidywane zamówienia u dostawców - handel,173,955,252
Współczynnik aktywności zawodowej - BAEL (do 2020 r.),371,1164,272
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,1242,252
Eksport towarów,220,1144,249
Przewidywane źródła finansowania działalności usługowej - środki własne,177,819,254
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,805,256
Źródła finansowania inwestycji - kredyt bankowy krajowy,192,801,328
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,2,254
Wskaźnik ufności koniunktury gospodarczej – przetwórstwo przemysłowe,187,16,248
Saldo obrotów towarowych wg kraju pochodzenia,223,1144,259
Pozycja przedsiębiorstwa wobec konkurencji na rynkach zagranicznych wewnątrz Unii Europejskiej - przetwórstwo przemysłowe,161,751,247
Wskaźniki cen towarów i usług konsumpcyjnych,305,739,248
Eksport towarów,220,1116,269
Przewidywane zatrudnienie,174,777,256
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,796,257
Renty socjalne,290,16,253
Bariery działalności w budownictwie,133,812,255
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,282
Przewidywane źródła finansowania działalności usługowej - środki własne,177,787,255
Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym,384,16,273
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,251
Renty socjalne,290,16,251
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,260
Wskaźniki cen towarów i usług konsumpcyjnych,305,16,249
Bariery działalności w budownictwie,133,813,251
Import towarów wg kraju pochodzenia,221,1243,268
Przewidywane źródła finansowania działalności usługowej - środki własne,177,787,249
Mieszkania, których budowę rozpoczęto,383,16,272
Bariery działalności w przetwórstwie przemysłowym,135,810,257
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,16,247
Eksport towarów,220,1198,249
Opóźnienia płatności,158,802,249
Bieżąca produkcja,140,797,251
Bieżąca sytuacja finansowa przedsiębiorstwa,141,751,249
Przewidywana produkcja,168,956,247
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,786,251
Przewidywana produkcja,168,956,258
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,751,251
Bieżąca sytuacja finansowa przedsiębiorstwa,141,960,248
Eksport towarów,220,1246,249
Bieżący popyt - usługi,143,787,255
Ogólny wskaźnik syntetyczny koniunktury gospodarczej GUS (SI),157,936,249
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,16,272
Saldo obrotów towarowych wg kraju pochodzenia,223,1199,255
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,16,255
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,786,257
Powierzchnia użytkowa mieszkań oddanych do użytkowania,387,118,264
Opóźnienia płatności,158,957,250
Zatrudnieni na podstawie stosunku pracy w organizacjach non-profit,85,345,322
Bieżący wskaźnik ufności konsumenckiej (BWUK),469,16,248
Wskaźnik ogólnego klimatu koniunktury,184,777,257
Saldo obrotów towarowych wg kraju pochodzenia,223,1144,249
Sprzedaż hurtowa towarów,110,832,268
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,751,253
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,777,254
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy zagraniczny,176,787,247
Import towarów wg kraju pochodzenia,221,1115,257
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,834,256
Pozycja przedsiębiorstwa wobec konkurencji na rynkach zagranicznych wewnątrz Unii Europejskiej - przetwórstwo przemysłowe,161,2,253
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,751,251
Przewidywana sprzedaż,169,777,255
